full_address,description
"555 Canal St, New Orleans, LA 70130","The full address to the conference hotel"
"555 Canal St, New Orlans, LA","The address to the conference hotel, misspelled city"
"555 Canal St, New Orleans, MI","The address to the conference hotel, wrong state"
"Room 600, 555 Canal St, New Orleans, LA 70130","A room at the conference hotel"
"555 Canal St, New Orleans","The street address without a state or ZIP code"
"555 Canal St New Orleans LA","No commas"
"Marriott, New Orleans, Louisiana","Provides the state and the city with the location name"
"Marriott, French Quarter, Louisiana","Provides the state and the location name, but not the exact city"
"New Orleans Marriott","Is a rough description of the hotel"
"Canal and Chartres St, New Orleans, LA","Cross street"
"Canal St & Chartres St, New Orleans, LA","Cross street with ampersand"
"Canal St & Chartres St, New Orleans, LA","Cross street with ampersand"
"177 43rd Â½ St, Pittsburgh, PA","Fractional street name (unicode)"
"177 43rd 1/2 St, Pittsburgh, PA","Fractional street name (typed 'normally')"
"110 Eighth Street, Troy, NY 12180","Rensselaer Polytechnic Institute uses this address as a mailing address, but the building doesn't actually exist"
"04098","A zip code in Westbrook, Maine"
"4098","A zip code in Westbrook, Maine without the initial 0"
